"Titre","Artiste","Spotify URI"
"Parce que c'est toi","Vianney, Mentissa","spotify:track:5TlcTSQHEQoa70KIWgV2ZR"
"Moi aimer toi","Vianney","spotify:track:1qqceUwmiSLrjkPxg9OLm8"
"S'il suffisait d'aimer","Céline Dion","spotify:track:5QsVz6hMVGPia0NOMQ8wOS"
"Heaven Is A Place On Earth","Belinda Carlisle","spotify:track:37Q5anxoGWYdRsyeXkkNoI"
"Kiss of Life","Sade","spotify:track:65krtHkaYLPr0mEbjL61UP"
"Helplessly","Tatiana Manaois","spotify:track:1pvGWSvIXr8PTk8nC4SnXK"
"Video Games","Lana Del Rey","spotify:track:0fBSs3fRoh1yJcne77fdu9"
"Summertime Sadness","Lana Del Rey","spotify:track:3BJe4B8zGnqEdQPMvfVjuS"
"Love Me JeJe","Tems","spotify:track:47hsUYxvbTlBAN3sP9dEOd"
"Coucou","Charlotte Dipanda","spotify:track:69rBY2orSK1dD1BCYlQSFT"
"White Flag","Dido","spotify:track:6si71supnBUhddjR2FJc2L"
